Seed,N,Model,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Sensitivity,Unsafe_Acceptance,Support_Vectors,Kernel_Lambda_Min,Kernel_Condition_Number
4526,32,Custom_Domain,0.525,0.04565149878632892,0.5012698412698413,0.5875,0.5125,0.5375,0.4875,23.4,0.04277530510667905,167.53436013780367
4526,32,Pauli_Z_YY,0.68125,0.40208405863760593,0.6490512265512265,0.7125,0.675,0.6875,0.325,23.35,0.07994620524439645,56.28337829263331
4526,32,SVM_RBF_Fixed,0.64375,0.3155884880655891,0.6431637806637807,0.675,0.6,0.6875,0.4,22.65,,
4526,32,Separable_Control,0.45625,-0.09858562608465876,0.4434235209235209,0.48125,0.4375,0.475,0.5625,23.75,0.0210999161119187,546.1862803711358
4526,32,ZZ_Linear,0.6125,0.24881103011874975,0.5932034632034632,0.63125,0.6125,0.6125,0.3875,23.55,0.07324680552626545,65.13219792755793
4526,64,Custom_Domain,0.490625,-0.03062623880987168,0.43672092613269087,0.525,0.55,0.43125,0.45,45.95,0.0050721196853329,2779.583776490854
4526,64,Pauli_Z_YY,0.53125,0.06374779829640032,0.48643958037146895,0.559375,0.575,0.4875,0.425,45.5,0.0036350614553451502,2377.720213123007
4526,64,SVM_RBF_Fixed,0.55625,0.11712370144162472,0.540405978180746,0.60703125,0.575,0.5375,0.425,44.15,,
4526,64,Separable_Control,0.465625,-0.07014673645625095,0.44551666642610915,0.45,0.48125,0.45,0.51875,46.9,0.00212619675188305,10643.796141186223
4526,64,ZZ_Linear,0.559375,0.12687168454219405,0.5600995512915017,0.57109375,0.5125,0.60625,0.4875,46.25,0.0036135992813432,2438.227947170194
